,Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
5452,11/15/2021 4:37PM,5500 S Drexel,African American,Female,Moving Violation-Other,Failure to Yield Crosswalk,,Verbal Warning,NO
5453,11/15/2021 4:41PM,5500 S Ellis,Caucasian,Male,Moving Violation-Other,Failure to Yield Crosswalk,,Verbal Warning,NO
5454,11/15/2021 5:15PM,5500 S Ellis,African American,Male,Moving Violation-Other,Failure to Yield Crosswalk,,Verbal Warning,NO
5455,11/15/2021 8:20PM,E/B Midway Pl & Woodlawn,African American,Male,Equipment,Equiptment Violation,,Verbal Warning,NO
5456,11/15/2021 8:37pm,5600 S Kimbark,Caucasian,Female,Moving Violation-Other,Wrong Way down One Way,,Verbal Warning,NO
5457,11/15/2021 8:49pm,5500 S Kimbark,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5458,11/15/2021 9:21PM,5615 Lake Park,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5459,11/15/2021 9:49PM,5300 Ingleside,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5460,11/15/2021 10:45PM,1226 E 53rd St,African American,Male,License Plate/ Registration,Equiptment Violation,Three Citations Issued,Citation Issued,NO
5461,11/16/2021 4:36PM,5500 S Greenwood,African American,Female,Moving Violation-Other,Failure to Yield Crosswalk,,Verbal Warning,NO
5462,11/16/2021 4:56PM,5500 S University,African American,Male,Moving Violation-Other,Failure to Yield Crosswalk,,Verbal Warning,NO
5463,11/16/2021 5:03PM,5040 S Blackstone,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5464,11/16/2021 5:12PM,5500 S University,African American,Male,Moving Violation-Other,Failure to Yield Crosswalk,,Verbal Warning,NO
5465,11/16/2021 8:50PM,E/B Midway Pl & Woodlawn,Caucasian,Female,Traffic sign/signal,Disobeyed Red Light,,Verbal Warning,NO
5466,11/16/2021 8:58PM,5300 S Ellis,African American,Female,License Plate/ Registration,Disobeyed Stop Sign,,Citation Issued,NO
5467,11/16/2021 9:10PM,E/B Midway Pl & Woodlawn,African American,Female,Traffic sign/signal,No Registration,One Citation Issued,Verbal Warning,YES
5468,11/16/2021 11:28PM,6000 Ellis,Hispanic,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5469,11/17/2021 8:31PM,5600 S Stony Island,African American,Female,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5470,11/17/2017 9:09PM,5900 S Ingleside,African American,Male,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5471,11/17/2021 9:31PM,5600 S Dorchester,Hispanic,Male,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5472,11/17/2021 9:32PM,5900 S Dorchester,Hispanic,Male,Lane Violation,Wrong Way in a One Way,,Verbal Warning,NO
5473,11/17/2021 9:45PM,5500 S Cottage Grove,Asian,Male,Traffic sign/signal,Failure to obey Traffic Signal,,Verbal Warning,NO
5474,11/17/2021 10:12PM,1109 E 61st St,Asian,Male,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5475,11/18/2021 4:41 PM,5500 S. Drexel,African American,Male,Moving Violation-Other,Commercial driver observed using cellular phone while driving Traffic Safety Mission,,Verbal Warning,NO
5476,11/18/2021 4:51 PM,5500 S. Ingleside,African American,Male,Moving Violation-Other,"Driver using cellular phone, driving with no lights on Traffic Safety Mission",,Verbal Warning,NO
5477,11/18/2021 5:17 PM,5500 S. Ingleside,African American,Male,Moving Violation-Other,Commercial driver observed using cellular phone while driving Traffic Safety Mission,,Verbal Warning,NO
5478,11/18/2021 6:05 PM,5500 S. Ingleside,African American,Female,Moving Violation-Other,Failure to yield to pedestrian in crosswalk,,Verbal Warning,NO
5479,11/18/2021 6:29 PM,5500 S. Ellis,African American,Male,Moving Violation-Other,Failure to yield to pedestrian in crosswalk,,Verbal Warning,NO
5480,11/18/2021 7:56 PM,5700 S. Drexel Ave,Caucasian,Male,Equipment,No headlights when required,,Verbal Warning,NO
5481,11/18/2021 9:11 PM,5700 S. Cottage Grove,Hispanic,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5482,11/18/2021 10:00 PM,1200 E/B Midway Plaisance,African American,Female,Equipment,No headlights when required,,Verbal Warning,NO
5483,11/19/2021 6:32AM,5900 S Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5484,11/19/2021 6:46AM,5500 Ellis,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5485,11/19/2021 4:37PM,5900 S Ellis,Caucasian,Female,Traffic sign/signal,Disobeyed Pedestrian Crosswalk,,Verbal Warning,NO
5486,11/19/2021 4:37PM,5500 Ellis,African American,Female,Lane Violation,Improper Lane Usage,,Verbal Warning,NO
5487,11/19/2021 5:19PM,5500 Ellis,African American,Female,Equipment,No Headlights when Required,,Verbal Warning,NO
5488,11/19/2021 5:22 PM,5500 Ellis,African American,Female,Equipment,No Headlights when Required,,Verbal Warning,NO
5489,11/19/2021 9:20pm,E/B Midway Pl & Woodlawn,Caucasian,Male,Equipment,No Headlight,,Verbal Warning,NO
5490,11/19/2021 9:33pm,5319 S Woodlawn,Hispanic,Male,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5491,1/19/2021 11:35pm,4900 S Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5492,11/20/2021 3:20PM,5331 Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Traffic Signal,,Verbal Warning,NO
5493,11/20/2021 4:39PM,5500 University,African American,Male,Equipment,No Headlights when Required,,Verbal Warning,NO
5494,11/20/2021 4:53PM,5500 University,African American,Female,Equipment,No Headlights when Required,,Verbal Warning,NO
5495,11/20/2021 5:30PM,5500 University,African American,Female,Equipment,No Headlights when Required,,Verbal Warning,NO
5496,11/20/20211 6:11PM,5300 S University,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,NO
5497,11/20/2021 8:13PM,Midway Pl and Woodlawn,African American,Male,Equipment,No Headlights when Required,,Verbal Warning,NO
5498,11/20/2021 8:41PM,Midway Pl and Woodlawn,African American,Female,Moving Violation-Other,Speeding,,Verbal Warning,NO
5499,11/20/2021 8:45PM,1160 E 59th ST,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,NO
5500,11/20/2021 9:06PM,5500 S Shore Dr,African American,Female,Equipment,No Headlights when Required,,Verbal Warning,NO
5501,11/20/2021 9:13PM,5700 S Everett,African American,Female,Traffic Sign/Signal,No Turn Signal,,Verbal Warning,NO
5502,11/20/2021 9:15PM,1023 E 53rd ST,African American,Female,Traffic Sign/Signal,Disobeyed Stop Sign,Two Citations Issued,Citation Issued,NO
5503,11/20/2021 9:27PM,Midway Pl and Woodlawn,African American,Male,Moving Violation-Other,Expired License,,Verbal Warning,NO
5504,11/20/2021 9:40PM,6000 S Dorchester,African American,Male,Moving Violation-Other,Wrong Way down One Way,Four Citations issued,Citation Issued,NO
5505,11/20/2021 9:52PM,5800 S Ellis,African American,Male,Traffic Sign/Signal,Disobeyed Red Light,One Citation Issued,Citation Issued,NO
5506,11/20/2021 9:58PM,6100 S Ellis,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,NO
5507,11/21/2021 2:53PM,850 E. 61st St,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,NO
5508,11/21/2021 6:45PM,5700 S Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5509,11/21/2021 6:47PM,5300 S Woodlawn,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5510,11/21/2021 8:26PM,5800 S Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5511,11/21/2021 8:56PM,5500 S Woodlawn,Asian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5512,11/21/2021 9:44PM,5900 S Ellis,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5513,11/21/2021 10:52PM,5900 S Ellis,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5514,11/22/2021 4:08PM,55th Dorchester,African American,Male,Traffic sign/signal,Stop Sign Violation,,Verbal Warning,NO
5515,11/22/2021 5:43PM,53rd Drexel,Hispanic,Male,Moving Violation-Other,Driving without Headlights,,Verbal Warning,NO
5516,11/22/2021 9:54PM,6200 S Kimbark,African American,Female,Lane Violation,Illegal Turn,,Verbal Warning,NO
5517,11/22/2021 10:01PM,5300 S Lake Park,African American,Female,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5518,11/23/2021 5:08pm,5500 S Woodlawn,African American,Female,Moving Violation-Other,Driving in Bicycle Lane,,Verbal Warning,NO
5519,11/23/2021 7:50PM,5480 S Kenwood,African American,Male,Lane Violation,Driving the Wrong Way,,Verbal Warning,YES
5520,11/23/2021 9:27PM,5300 S Dorchester,African American,Male,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5521,11/24/2021 2:11 PM,5520 S. University,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5522,11/24/2021 3:50 PM,5300 S. Kimbark,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5523,11/24/2021 4:38 PM,5500 S. Ellis,African American,Female,Equipment,No headlights when required,,Verbal Warning,NO
5524,11/24/2021 5:05 PM,5600 S. Ellis,African American,Male,moving Violation-Other,Utilizing electronic device while driving,,Verbal Warning,NO
5525,11/24/2021 5:25 PM,5500 S. University,African American,Female,moving Violation-Other,Utilizing electronic device while driving,One Citation Issued,Citation Issued,NO
5526,11/24/2021 8:23 PM,E/B Midway Plaisance & Woodlawn,African American,Male,Equipment,Equipment,Two Citations Issued,Citation Issued,NO
5527,11/24/2021 8:31 PM,E/B midway Plaisance & Kimbark,African American,Female,License Plate/Registration,Equipment,Two Citations Issued,Citation Issued,Yes
5528,11/25/2021 12:29 AM,5650 S. Lake Park,Hispanic,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5529,11/25/2021 11:07 AM,5730 S. Woodlawn,Caucasian,Male,Traffic sign/signal,Disobeyed traffic signal,,Verbal Warning,NO
5530,11/25/2021 11:07 AM,1154 E. 60th Street,Caucasian,Male,Moving Violation-Other,Driving wrong direction,,Verbal Warning,NO
5531,11/25/2021 11:59 AM,5600 S. Stony Island,African American,Male,Speed,Speeding,Two Citations Issued,Citation Issued,NO
5532,11/25/2021 10:19 PM,5400 S. Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5533,11/25/2021 10:20 PM,5900 S. Woodlawn,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5534,11/25/2021 11:45 PM,5300 S. Woodlawn,Hispanic,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5535,11/26/2021 12:45 AM,5300 S. Woodlawn,African American,Female,License Plate/Registration,Expired Registration,One Citation Issued,Citation Issued,NO
5536,11/26/2021 5:24 PM,1000 E. Midway Plaisance,African American,Female,Speed,Speeding,,Verbal Warning,NO
5537,11/26/2021 9:32 PM,1200 E. Midway Plaisance,African American,Male,Lane Violation,Swerving in traffic,,Verbal Warning,NO
5538,11/26/2021 9:51 PM,5700 S. University,Asian,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,NO
5539,11/27/2021 7:06 PM,Midway Plaisance & Dorchester,African American,Female,Speed,Speeding,,Verbal Warning,NO
5540,11/27/2021 7:38 PM,5600 S. University,Hispanic,Female,Lane Violation,Wrong way on one way street,,Verbal Warning,NO
5541,11/27/2021 9:34 PM,5300 S. Blackstone,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5542,11/27/2021 9:48 PM,5300 S. Lake Park,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5543,11/28/2021 8:44 PM,5100 S. University,African American,Male,Traffic sign/signal,Failure to obey traffic device,,Verbal Warning,NO
5544,11/29/2021 4:30PM,5500 Greenwood,African American,Male,Moving Violation-Other,Failure to Yield to Pedestrian,,Verbal Warning,NO
5545,11/29/2021 4:40PM,5500 Ingleside,African American,Female,Moving Violation-Other,Failure to Yield to Pedestrian,,Verbal Warning,NO
5546,11/29/2021 4:50PM,5500 Dorchester,African American,Male,Moving Violation-Other,Failure to Yield to Pedestrian,,Verbal Warning,NO
5547,11/29/2021 7:04PM,5472 S Kimbark,African American,Male,Traffic sign/signal,Stop Sign Violation,Two Citations Issued,Citation Issued,NO
5548,111/29/2021 8:37PM,5800 S Woodlawn,African American,Female,Traffic sign/signal,Stop Sign Violation,,Verbal Warning,NO
5549,12/1/2021 11:51AM,MDW and Woodlawn,African American,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,No
5550,12/1/2021 5:13PM,5500 S Kenwood,African American,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,No
5551,12/1/2021 5:59PM,1018E 54th St,Caucasian,Female,Traffic sign/signal,Failed to Stop at Stop Sign,,Verbal Warning,No
5552,12/1/2021 6:50PM,1030 E 56th St,Caucasian,Male,Moving Violation-Other,Double Parked,,Verbal Warning,No
5553,12/1/2021 8:56PM,5900 University,Hispanic,Female,Moving Violation-Other,Driving the Wrong Way,,Verbal Warning,No
5554,12/1/2021 9:07PM,1554 E 55th St,African American,Female,Equipment,No Headlights when Required,,Verbal Warning,No
5555,12/1/2021 9:17PM,5500 S Woodlawn,Caucasian,Male,Moving Violation-Other,Failure to Yield at Crosswalk,,Verbal Warning,No
5556,12/1/2021 9:40PM,5500 S Woodlawn,African American,Male,Equipment,No headlights when required,,Verbal Warning,No
5557,12/1/2021 9:53PM,6200 S Ellis,African American,Male,Traffic sign/signal,Failed to Stop at Stop Sign,,Verbal Warning,No
5558,12/1/2021 10:16PM,5320 S Harper,Caucasian,Male,Traffic sign/signal,Failed to Stop at Stop Sign,,Verbal Warning,No
5559,12/2/2021 4:35PM,5235 S Harper,African American,Female,Lane Violation,Improper Parking on Roadway,,Verbal Warning,NO
5560,12/2/2021 9:47PM,1517 E 53rd St,African American,Male,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5561,12/2/2021 10:06PM,5300 S Dorchester,African American,Male,Equipment,No Head Light,,Verbal Warning,NO
5562,12/2/2021 10:55PM,5300 S Lake Park,Caucasian,Male,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5563,12/3/2021 10:20AM,5600 Drexel,African American,Male,Moving Violation-Other,Driving down Wrong Way,,Verbal Warning,NO
5564,12/3/2021 9:16PM,E/B Midway at University,African American,Female,Equipment,No Headlight,,Verbal Warning,NO
5565,12/3/2021 10:45PM,1155 E 61St St,African American,Female,Equipment,No Headlight,Two Citations Issued,Citation Issued,NO
5566,12/3/2021 10:48PM,W/B Midway and Ellis,Caucasian,Female,Equipment,No Headlight,,Verbal Warning,NO
5567,12/4/2021 12:08AM,5500 S Cornell,Hispanic,Male,Moving Violation-Other,Wrong Way down OneWay,Three Citations Issued,Citation Issued,NO
5568,12/4/2021 2:46PM,1219 E 59th St,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5569,12/4/2021 5:255PM,1348 E 55th St,African American,Male,Moving Violation-Other,Improper Lane Usage,,Verbal Warning,NO
5570,12/4/2021 9:47PM,EB Midway and Woodlawn,Asian,Female,Equipment,No Headlight,,Verbal Warning,NO
5571,102/4/2021 10:05PM,1226 E 53rd St,Hispanic,Female,Traffic sign/signal,Disobeyed Traffic Signal,One Citation Issued,Citation Issued,NO
5572,12/4/2021 22:21PM,1013 E 53rd St,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5573,12/5/2021 6:29AM,6200 Cottage Grove,African American,Female,Traffic sign/signal,Disobeyed Traffic Control Device,,Verbal Warning,NO
5574,12/5/2021 4:20PM,5500 Greenwood,African American,Male,Moving Violation-Other,Failure to Yield to Pedestrian,,Verbal Warning,NO
5575,12/5/2021 7:54PM,5300 S Ellis,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5576,12/5/2021 8:18PM,EB Midway and Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5577,12/5/2021 8:32PM,5900 S Ellis,Hispanic,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5578,12/5/2021 8:36PM,5500 S University,Hispanic,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5579,12/5/2021 9:32PM,5300 S University,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5580,12/5/2021 10:35PM,5300 S University,Asian,Male,Traffic sign/signal,Disobeyed Stop Sign,Three Citations Issued,Citation Issued,NO
5581,12/5/2021 11:01PM,5200 S Drexel,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,Two Citations Issued,Citation Issued,NO
5582,12/5/2021 11:34PM,5500 S Dorchester,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,Three Citations Issued,Citation Issued,NO
5583,12/6/2021 2:51AM,5800 S University,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5584,12/6/2021 7:02PM,E/B Midway and Woodlawn,African American,Male,Moving Violation-Other,Failed to Stop at Cross Walks,One Citation Issued,Citation Issued,NO
5585,12/6/2021 8:12PM,5225 S Harper,African American,Male,Traffic sign/signal,Failure to Stop at a Stop Sign,,Verbal Warning,NO
5586,12/6/2021 8:51PM,5900 S Dorchester,African American,Male,Speed,Speeding,,Verbal Warning,NO
5587,12/6/2021 9:02PM,5300 S Kenwood,African American,Male,Traffic sign/signal,Failure to Stop at a Stop Sign,,Verbal Warning,NO
5588,12/6/2021 9:09PM,6100 S Ellis,African American,Male,Traffic sign/signal,Failed to Stop at Traffic Device,,Verbal Warning,NO
5589,12/6/2021 10:06PM,5900 S Drexel,Hispanic,Male,Lane Violation,Driving the Wrong Way on Road,,Verbal Warning,NO
5590,12/6/2021 10:08PM,6100 S Dorchester,African American,Male,Traffic sign/signal,Failed to Stop at Traffic Device,,Verbal Warning,NO
5591,12/6/2021 10:35PM,5300 S Blackstone,African American,Female,Traffic sign/signal,Failure to Stop at a Stop Sign,,Verbal Warning,NO
5592,12/6/2021 11:11PM,5100 S Cornell,Asian,Male,Traffic sign/signal,Failed to Stop at Traffic Device,,Verbal Warning,NO
5593,12/7/2021 3:06 PM,56th & Kimbark,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5594,12/7/2021 4:37 PM,5500 S. Ellis,Caucasian,Female,Traffic sign/signal,Traffic Control Violation,,Verbal Warning,NO
5595,12/7/2021 4:44 PM,5500 S. University,African American,Female,Moving Violation-Other,Driving without headlights,,Verbal Warning,NO
5596,12/7/2021 4:45 PM,60th & Drexel,Caucasian,Female,Moving Violation-Other,Driving wrong direction,,Verbal Warning,NO
5597,12/7/2021 5:41 PM,5500 S. University,African American,Male,Equipment,No headlights when required,,Verbal Warning,NO
5598,12/9/2021 1:59PM,5800 Drexel,African American,Female,Equipment,No Headlights,,Verbal Warning,NO
5599,12/9/2021 5:05PM,5465 Ingleside,African American,Female,Equipment,No Headlights,,Verbal Warning,NO
5600,12/9/2021 5:30PM,5500 Drexel,Caucasian,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
